date,open,high,low,close,adj_close,volume,high_20,low_20,vol_sma20,atr14
2019-06-28,4.125,4.1343,4.0588,4.1058,4.0802,397668000,4.1343,3.315,411667000.0,0.1266
2019-07-01,4.3142,4.3488,4.1165,4.1543,4.1284,709756000,4.3488,3.3867,423222600.0,0.1349
2019-07-02,4.1375,4.1588,4.0425,4.0557,4.0305,400228000,4.3488,3.4955,411142200.0,0.1336
2019-07-03,4.0792,4.085,4.0085,4.0687,4.0434,246636000,4.3488,3.5338,397893200.0,0.1295
2019-07-05,4.01,4.0145,3.942,4.0058,3.9808,396552000,4.3488,3.571,397313800.0,0.1293
2019-07-08,3.9457,3.9648,3.9,3.9302,3.9058,329788000,4.3488,3.571,396360400.0,0.1276
2019-07-09,3.8877,3.961,3.875,3.9327,3.9083,342860000,4.3488,3.571,393364400.0,0.1246
2019-07-10,3.9765,4.0592,3.9625,4.0015,3.9766,452076000,4.3488,3.571,396774600.0,0.1248
2019-07-11,4.075,4.198,4.0375,4.157,4.1311,682560000,4.3488,3.571,412958000.0,0.1299
2019-07-12,4.185,4.2618,4.185,4.1902,4.1642,506392000,4.3488,3.571,422873600.0,0.1281
2019-07-15,4.2115,4.2277,4.1533,4.1817,4.1557,289840000,4.3488,3.5912,417644200.0,0.1243
2019-07-16,4.1667,4.2042,4.121,4.177,4.151,341444000,4.3488,3.6765,420914400.0,0.1213
2019-07-17,4.1788,4.2498,4.1493,4.2428,4.2164,348204000,4.3488,3.768,409228600.0,0.1198
2019-07-18,4.2533,4.3177,4.1962,4.2545,4.228,442192000,4.3488,3.768,414756000.0,0.12
2019-07-19,4.293,4.2995,4.205,4.211,4.1848,344896000,4.3488,3.768,414492400.0,0.1181
2019-07-22,4.2325,4.296,4.225,4.283,4.2564,315940000,4.3488,3.768,408568000.0,0.1158
2019-07-23,4.3225,4.3935,4.3067,4.3915,4.3642,428176000,4.3935,3.7843,415829400.0,0.1154
2019-07-24,4.435,4.4722,4.3585,4.4665,4.4387,366236000,4.4722,3.875,418547800.0,0.1153
2019-07-25,4.4247,4.4375,4.311,4.3345,4.3075,392700000,4.4722,3.875,408979200.0,0.1182
2019-07-26,4.3618,4.4237,4.3618,4.3767,4.3495,274160000,4.4722,3.875,400415200.0,0.1161
2019-07-29,4.3695,4.3868,4.2818,4.3705,4.3433,248160000,4.4722,3.875,392939800.0,0.1153
2019-07-30,4.3238,4.3985,4.3092,4.3863,4.359,197772000,4.4722,3.875,367340600.0,0.1134
2019-07-31,4.3545,4.3555,4.1755,4.218,4.1918,359416000,4.4722,3.875,365300000.0,0.1204
2019-08-01,4.2285,4.3195,4.0705,4.123,4.0974,421212000,4.4722,3.875,374028800.0,0.1296
2019-08-02,4.0297,4.0995,3.982,4.0297,4.0047,428348000,4.4722,3.875,375618600.0,0.1304
2019-08-05,3.845,3.8463,3.7225,3.7698,3.7463,589156000,4.4722,3.7225,388587000.0,0.143
2019-08-06,3.845,3.8907,3.7608,3.8087,3.7851,361272000,4.4722,3.7225,389507600.0,0.1421
2019-08-07,3.7475,3.8593,3.73,3.8472,3.8233,372560000,4.4722,3.7225,385531800.0,0.1412
2019-08-08,3.9053,3.9578,3.8475,3.9565,3.9319,309300000,4.4722,3.7225,366868800.0,0.139
2019-08-09,3.9153,3.9188,3.8038,3.8545,3.8305,341816000,4.4722,3.7225,358640000.0,0.14
