date,open,high,low,close,adj_close,volume,high_20,low_20,vol_sma20,atr14
2023-11-20,334.89,341.87,334.19,339.97,337.3229,16960500,341.87,279.4,21972885.0,8.3272
2023-11-21,338.33,339.9,335.9,336.98,334.3562,12027900,341.87,279.4,21598005.0,8.0231
2023-11-22,339.21,342.92,338.58,341.49,338.831,10702700,342.92,279.4,20023515.0,7.8743
2023-11-24,340.13,341.86,336.77,338.23,335.5964,5467500,342.92,292.97,16962685.0,7.6754
2023-11-27,336.18,339.9,334.2,334.7,332.0939,15684500,342.92,296.86,16267095.0,7.5343
2023-11-28,333.4,339.38,333.4,338.99,336.3505,12637200,342.92,296.86,15477200.0,7.4233
2023-11-29,339.69,339.9,330.78,332.2,329.6134,16024500,342.92,301.85,15306715.0,7.5445
2023-11-30,331.89,333.5,322.4,327.15,324.6027,23146400,342.92,308.33,15442305.0,7.7985
2023-12-01,325.48,326.86,320.76,324.82,322.2909,15276400,342.92,311.02,15124535.0,7.6979
2023-12-04,317.29,320.86,313.66,320.02,317.5282,19037100,342.92,313.66,15238175.0,7.9451
2023-12-05,318.98,321.88,315.39,318.29,315.8117,16952100,342.92,313.66,15441395.0,7.8412
2023-12-06,321.93,322.25,317.04,317.45,314.9782,11294300,342.92,313.66,15303330.0,7.6533
2023-12-07,317.77,328.24,317.77,326.59,324.0471,15905100,342.92,313.66,15418100.0,7.8773
2023-12-08,323.09,333.17,323.0,332.75,330.1591,14087400,342.92,313.66,15317315.0,8.0411
2023-12-11,329.4,329.89,320.0,325.28,322.7473,25802500,342.92,313.66,15652630.0,8.3774
2023-12-12,324.6,334.47,324.56,334.22,331.6176,18485500,342.92,313.66,15731460.0,8.4869
2023-12-13,333.93,338.37,332.64,334.74,332.1336,16353300,342.92,313.66,15690155.0,8.29
2023-12-14,333.85,334.7,328.64,333.17,330.5758,19607300,342.92,313.66,15943960.0,8.1336
2023-12-15,331.99,338.66,331.22,334.92,332.3122,31776900,342.92,313.66,16586175.0,8.084
2023-12-18,337.48,347.56,337.02,344.62,341.9366,18993900,347.56,313.66,16811150.0,8.4094
2023-12-19,345.58,353.6,345.12,350.36,347.6319,17729400,353.6,313.66,16849595.0,8.4502
2023-12-20,348.65,354.96,347.79,349.28,346.5604,16369900,354.96,313.66,17066695.0,8.3588
2023-12-21,352.98,356.41,349.21,354.09,351.3329,15289600,356.41,313.66,17296040.0,8.276
2023-12-22,355.58,357.2,351.22,353.39,350.6384,11772800,357.2,313.66,17611305.0,8.112
2023-12-26,354.99,356.98,353.45,354.83,352.0671,9898600,357.2,313.66,17322010.0,7.789
2023-12-27,356.07,359.0,355.31,357.83,355.0438,13207900,359.0,313.66,17350545.0,7.5305
2023-12-28,359.7,361.9,357.81,358.32,355.5299,11798800,361.9,313.66,17139260.0,7.2847
2023-12-29,358.99,360.0,351.82,353.96,351.204,14987100,361.9,313.66,16731295.0,7.3487
2024-01-02,351.32,353.16,340.01,346.29,343.5937,19042200,361.9,313.66,16919585.0,7.8202
2024-01-03,344.98,347.95,343.18,344.47,341.7878,15451100,361.9,315.39,16740285.0,7.6023
2024-01-04,344.5,348.15,343.4,347.12,344.4172,12099900,361.9,317.04,16497675.0,7.3986
2024-01-05,346.99,353.5,346.26,351.95,349.2096,13920700,361.9,317.77,16628995.0,7.3873
2024-01-08,354.7,358.98,352.05,358.66,355.8673,13890200,361.9,320.0,16528250.0,7.3618
2024-01-09,356.4,360.64,355.36,357.43,354.6469,13463900,361.9,320.0,16497075.0,7.2131
2024-01-10,360.17,372.94,359.08,370.47,367.5854,22117200,372.94,324.56,16312810.0,7.8057
2024-01-11,372.13,372.78,362.93,369.67,366.7916,17205400,372.94,328.64,16248805.0,7.9517
2024-01-12,370.16,377.06,369.54,374.49,371.5741,19310000,377.06,328.64,16396640.0,7.9209
2024-01-16,373.65,375.61,367.23,367.46,364.5988,15306900,377.06,331.22,16181620.0,7.9537
2024-01-17,366.3,368.54,358.61,368.37,365.5018,12724800,377.06,337.02,15229015.0,8.0948
2024-01-18,371.49,376.85,370.95,376.13,373.2013,16354300,377.06,340.01,15097035.0,8.1224
2024-01-19,379.0,384.36,377.97,383.45,380.4643,21670800,384.36,340.01,15294105.0,8.13
2024-01-22,387.95,390.35,381.16,381.78,378.8073,17680500,390.35,340.01,15359635.0,8.2058
2024-01-23,384.62,388.38,382.08,385.2,382.2007,15506100,390.35,340.01,15370460.0,8.0911
2024-01-24,390.0,396.15,387.81,390.7,387.6579,15698500,396.15,340.01,15566745.0,8.2953
2024-01-25,390.17,395.49,385.66,393.18,390.1186,15091100,396.15,340.01,15826370.0,8.4049
2024-01-26,394.35,396.79,391.59,394.14,391.071,13163700,396.79,340.01,15824160.0,8.176
2024-01-29,394.99,402.93,393.1,401.02,397.8975,18742400,402.93,340.01,16171340.0,8.2941
2024-01-30,403.59,406.36,399.57,400.06,396.945,18614700,406.36,340.01,16352720.0,8.1867
2024-01-31,389.0,398.0,387.1,390.14,387.1022,20180800,406.36,343.18,16409650.0,8.5276
2024-02-01,393.94,400.5,393.05,394.78,391.7061,29727100,406.36,343.4,17123450.0,8.6585
2024-02-02,459.6,485.96,453.01,474.99,471.2915,84707600,485.96,346.26,20753835.0,14.5529
2024-02-05,469.88,471.9,459.22,459.41,455.8329,40832400,485.96,352.05,22099420.0,14.6398
2024-02-06,464.0,467.12,453.0,454.72,451.1794,21655200,485.96,355.36,22487670.0,14.6027
2024-02-07,458.0,471.52,456.18,469.59,465.9335,23066000,485.96,358.61,22967775.0,14.7597
2024-02-08,468.32,470.59,465.03,470.0,466.3404,18815100,485.96,358.61,22802670.0,14.1025
2024-02-09,472.95,473.59,467.47,468.11,464.4651,18413100,485.96,358.61,22863055.0,13.5324
2024-02-12,468.19,479.15,466.58,468.9,465.249,19382000,485.96,358.61,22866655.0,13.4636
2024-02-13,456.87,467.89,455.09,460.12,456.5373,20916600,485.96,358.61,23147140.0,13.4884
2024-02-14,467.93,474.11,466.09,473.28,469.5948,16858400,485.96,370.95,23353820.0,13.5242
2024-02-15,475.28,488.62,472.22,484.03,480.2611,24212300,488.62,377.97,23746720.0,13.7296
2024-02-16,478.11,478.96,469.21,473.32,469.6345,23324600,488.62,381.16,23829410.0,13.8075
2024-02-20,469.72,476.18,466.56,471.75,468.0768,18015500,488.62,382.08,23846160.0,13.5084
2024-02-21,466.5,469.0,461.79,468.03,464.8785,12921800,488.62,385.66,23716945.0,13.2549
2024-02-22,480.24,489.99,476.06,486.13,482.8566,21625800,489.99,385.66,24013310.0,13.8767
2024-02-23,488.05,494.36,482.35,484.03,480.7707,18374300,494.36,387.1,24177470.0,13.7434
2024-02-26,483.47,486.14,480.6,481.74,478.4962,12101400,494.36,387.1,24124355.0,13.1574
2024-02-27,479.98,487.27,479.92,487.05,483.7704,10809600,494.36,387.1,23727715.0,12.7426
2024-02-28,485.0,491.05,482.75,484.02,480.7608,12715500,494.36,387.1,23432755.0,12.4253
2024-02-29,488.44,491.7,482.61,490.13,486.8297,17732000,494.36,393.05,23310315.0,12.187
