date,open,high,low,close,adj_close,volume
2021-01-14,211.24,215.0,211.13,213.94,200.8289,33913700
2021-01-15,210.81,213.96,208.26,210.75,197.8345,41043500
2021-01-19,213.34,213.61,211.72,213.45,200.369,19744300
2021-01-20,214.36,215.98,213.07,214.39,201.2514,25474200
2021-01-21,214.97,215.16,211.95,212.53,199.5054,21180500
2021-01-22,210.49,215.33,209.55,215.0,201.824,24800200
2021-01-25,214.93,217.91,211.6,214.79,201.6269,33985000
2021-01-26,216.3,216.69,212.77,213.3,200.2282,23969800
2021-01-27,209.5,212.99,207.29,209.39,196.5578,45830300
2021-01-28,210.84,212.37,207.63,208.72,195.9289,32202500
2021-01-29,209.73,210.99,204.84,205.56,192.9626,40591900
2021-02-01,208.17,211.57,205.76,210.61,197.7031,26375100
2021-02-02,213.15,214.05,210.89,213.61,200.5192,22773100
2021-02-03,213.7,214.74,211.59,214.25,201.12,23923200
2021-02-04,215.09,218.83,215.08,218.62,205.2222,25400800
2021-02-05,220.94,221.84,218.77,221.65,208.0665,23338800
2021-02-08,223.79,227.33,223.4,227.31,213.3796,20831500
2021-02-09,227.13,229.62,226.31,228.38,214.3841,19510900
2021-02-10,229.92,230.32,224.95,226.88,212.976,27955400
2021-02-11,228.14,229.0,223.42,226.62,212.7319,25847600
2021-02-12,225.93,227.74,224.64,227.26,213.3327,17440200
2021-02-16,229.47,229.63,224.79,225.83,211.9903,22999500
2021-02-17,223.61,224.74,220.96,224.06,210.3288,25042300
2021-02-18,222.34,222.9,219.39,220.59,207.0714,24501500
2021-02-19,222.46,226.3,222.17,225.19,211.3895,31238200
2021-02-22,223.51,226.39,222.98,223.73,210.019,23272100
2021-02-23,220.96,222.98,215.56,221.76,208.1697,38646800
2021-02-24,222.62,227.45,221.71,227.0,213.0886,27584900
2021-02-25,226.79,227.59,218.01,218.61,205.2128,49961400
2021-02-26,219.52,222.23,214.81,218.31,204.9312,47734200
2021-03-01,223.48,226.71,222.94,226.07,212.2156,26161000
2021-03-02,225.79,225.96,221.55,221.72,208.1322,26895400
2021-03-03,222.42,224.26,219.21,219.32,205.8793,33407600
2021-03-04,218.51,220.69,209.43,213.19,200.1249,59126500
2021-03-05,216.89,218.15,207.21,217.71,204.3679,53204300
2021-03-08,219.36,222.27,217.67,218.74,205.3348,40619700
2021-03-09,222.41,224.99,220.92,223.34,209.6529,32247300
2021-03-10,225.6,228.97,225.2,227.22,213.2951,36812000
2021-03-11,229.55,232.28,228.79,232.22,217.9887,25256700
2021-03-12,231.99,234.15,231.37,233.59,219.2748,23732200
2021-03-15,233.34,234.53,231.91,234.42,220.0539,21497400
2021-03-16,234.02,234.09,229.12,230.5,216.3742,24675000
2021-03-17,228.97,232.82,227.36,232.31,218.0732,29422600
2021-03-18,230.8,232.93,224.61,225.24,211.4365,35637200
2021-03-19,224.57,228.6,222.95,226.94,213.0323,40855600
2021-03-22,227.68,228.1,224.1,225.23,211.4271,26128400
2021-03-23,223.16,223.86,216.03,217.06,203.7578,43660700
2021-03-24,219.86,221.33,212.04,212.04,199.0454,47270200
2021-03-25,209.34,217.52,208.03,216.66,203.7648,59244600
2021-03-26,218.96,220.68,215.96,220.61,207.4797,34452600
2021-03-29,219.01,220.93,214.08,214.4,201.6393,38078800
2021-03-30,214.39,218.68,213.14,218.01,205.0344,36205400
2021-03-31,219.17,222.4,219.12,220.94,207.79,34800100
2021-04-01,222.4,223.9,222.02,223.74,210.4234,29799200
2021-04-05,226.4,226.54,223.57,224.97,211.5802,27826600
2021-04-06,225.0,226.69,223.84,224.31,210.9595,24907800
2021-04-07,224.23,224.37,219.94,220.69,207.5549,26233700
2021-04-08,221.84,222.82,219.39,222.56,209.3137,23989400
2021-04-09,222.49,223.09,221.24,222.59,209.3418,23267400
2021-04-12,222.72,222.93,220.4,221.72,208.5236,20533900
2021-04-13,221.48,222.57,218.83,221.14,207.9781,24608400
2021-04-14,221.87,226.0,221.8,223.32,210.0284,27362000
2021-04-15,225.09,225.12,222.26,224.29,210.9406,20587300
2021-04-16,225.4,225.68,223.01,224.65,211.2792,23943000
2021-04-19,223.71,224.66,219.94,221.73,208.533,25285900
2021-04-20,220.77,221.62,215.24,217.19,204.2632,35570800
2021-04-21,217.02,222.62,215.5,222.5,209.2572,31147800
2021-04-22,223.26,225.33,220.78,221.58,208.3919,31943700
2021-04-23,222.82,226.65,222.02,225.76,212.3232,27999500
2021-04-26,227.0,228.69,226.75,228.11,214.5333,19069200
2021-04-27,228.71,229.39,227.51,228.45,214.8531,19648100
2021-04-28,228.08,229.49,227.1,228.84,215.2198,16222700
2021-04-29,230.85,230.95,225.79,227.99,214.4205,25500300
2021-04-30,225.72,227.8,224.14,224.89,211.5049,27006000
2021-05-03,227.21,227.41,224.92,225.99,212.5395,18693400
2021-05-04,224.6,226.14,220.96,223.29,210.0001,26892700
2021-05-05,224.28,224.54,221.36,222.4,209.1631,25139500
2021-05-06,222.65,222.81,218.64,222.59,209.3418,27647300
2021-05-07,222.66,225.93,222.16,225.39,211.9752,26172700
2021-05-10,225.23,225.67,219.59,219.66,206.5862,28109100
2021-05-11,214.92,220.39,214.42,218.96,205.9279,39519500
2021-05-12,217.1,218.77,211.54,211.85,199.241,42113400
2021-05-13,213.31,217.44,211.8,215.75,202.9089,37739900
2021-05-14,217.94,221.41,215.68,221.02,207.8653,25070400
2021-05-17,219.78,221.39,217.9,221.32,208.1474,20048500
2021-05-18,221.39,223.24,219.47,219.64,206.5674,24564500
2021-05-19,216.03,218.16,214.05,217.95,204.978,31202800
2021-05-20,218.27,219.87,216.33,219.4,206.3417,24932800
2021-05-21,221.33,222.37,219.35,219.97,206.8777,24213700
2021-05-24,221.18,222.45,220.0,221.4,208.2227,18324200
2021-05-25,222.23,223.71,219.19,219.26,206.21,20514900
2021-05-26,220.13,223.69,220.12,223.35,210.0566,20388200
2021-05-27,225.04,226.36,224.18,225.65,212.2197,21225700
2021-05-28,227.08,227.18,225.05,225.5,212.0786,20668400
2021-06-01,227.46,228.56,225.96,228.06,214.4863,23081500
2021-06-02,228.91,228.92,226.83,228.33,214.7402,18927500
2021-06-03,226.82,227.62,224.04,226.42,212.9439,24811500
2021-06-04,227.56,228.06,226.21,227.4,213.8655,19395800
2021-06-07,227.89,230.78,227.25,230.45,216.734,24049900
2021-06-08,231.21,233.48,229.98,232.89,219.0288,27770300
2021-06-09,233.54,233.64,230.98,231.34,217.571,18700600
2021-06-10,231.68,232.18,228.71,229.28,215.9576,29069000
2021-06-11,230.3,231.8,230.07,231.7,218.237,16707200
2021-06-14,232.31,233.35,230.14,231.02,217.5965,19182800
2021-06-15,231.12,231.47,228.48,230.36,216.9748,17039900
2021-06-16,229.7,230.68,227.64,229.87,216.5133,24527000
2021-06-17,229.24,230.2,224.52,227.29,214.0832,48292500
2021-06-18,223.7,225.74,221.13,222.13,209.2231,54023700
2021-06-21,224.05,227.5,223.28,226.88,213.697,26736400
2021-06-22,226.27,228.41,224.72,227.91,214.6672,21188500
2021-06-23,227.99,229.96,227.99,228.66,215.3736,22387500
2021-06-24,230.12,231.91,228.72,231.89,218.4159,21732500
2021-06-25,232.29,233.41,231.75,232.28,218.7833,27619000
