date,open,high,low,close,adj_close,volume
2019-08-21,188.61,189.23,187.96,188.63,181.0281,20418500
2019-08-22,188.98,189.46,186.54,188.02,180.4426,24243700
2019-08-23,186.74,188.45,181.56,182.07,174.7324,55372400
2019-08-26,184.14,184.87,183.08,184.82,177.3716,27598900
2019-08-27,186.11,186.42,183.71,184.43,176.9973,28012800
2019-08-28,183.83,185.4,182.91,185.09,177.6307,21792400
2019-08-29,187.39,188.46,186.68,187.92,180.3466,25358900
2019-08-30,188.93,188.97,186.41,187.47,179.9147,26319800
2019-09-03,186.22,187.18,185.03,185.65,178.1681,27964200
2019-09-04,187.44,188.49,186.9,188.33,180.7401,21592100
2019-09-05,190.41,192.33,190.34,191.78,184.0511,33932600
2019-09-06,192.1,192.17,191.17,191.59,183.8687,19487800
2019-09-09,192.19,192.27,190.22,191.19,183.4848,24407600
2019-09-10,190.16,190.74,188.91,190.64,182.957,23744700
2019-09-11,191.0,192.53,190.56,192.43,184.6749,25063600
2019-09-12,193.61,194.71,192.97,193.23,185.4426,28689900
2019-09-13,192.95,193.4,192.29,192.54,184.7805,27669800
2019-09-16,191.3,192.08,191.11,191.68,183.9551,20319000
2019-09-17,191.7,192.6,191.29,192.6,184.8381,20953400
2019-09-18,192.2,192.6,190.11,192.52,184.7613,29781300
2019-09-19,192.86,194.04,192.47,192.84,185.0684,26039400
2019-09-20,193.11,193.31,190.16,190.8,183.1106,29086100
2019-09-23,190.36,191.07,189.72,190.5,183.1913,22485900
2019-09-24,191.37,191.79,187.15,187.97,180.7584,40820700
2019-09-25,187.78,190.58,186.21,190.08,182.7874,34704900
2019-09-26,189.83,190.0,187.98,189.38,182.1143,26826000
2019-09-27,189.73,189.83,185.75,187.03,179.8545,40773500
2019-09-30,187.79,189.11,187.4,188.81,181.5662,26307700
2019-10-01,189.5,190.59,186.96,187.27,180.0853,32367600
2019-10-02,186.0,186.03,183.02,184.05,176.9888,48544300
2019-10-03,184.03,186.21,181.82,186.07,178.9313,39392500
2019-10-04,187.08,189.08,186.88,188.81,181.5662,31887600
2019-10-07,188.27,189.74,187.91,188.24,181.0181,21216000
2019-10-08,187.06,187.86,185.27,185.42,178.3062,32379300
2019-10-09,186.99,188.08,186.43,187.23,180.0468,20147400
2019-10-10,187.28,189.43,187.12,188.68,181.4412,25177700
2019-10-11,190.83,192.63,190.72,191.11,183.778,40976700
2019-10-14,190.84,191.7,190.65,191.09,183.7587,14975000
2019-10-15,191.68,193.97,191.56,193.52,186.0955,23234200
2019-10-16,192.86,193.53,192.43,193.04,185.6339,20457100
2019-10-17,194.2,194.5,192.81,193.55,186.1243,19045200
2019-10-18,193.2,193.67,190.71,191.69,184.3357,27700800
2019-10-21,192.71,193.52,192.14,193.39,185.9705,15801200
2019-10-22,194.15,194.42,191.79,191.85,184.4896,22392300
2019-10-23,191.46,192.26,191.15,192.22,184.8453,14828400
2019-10-24,193.59,194.21,192.74,194.09,186.6436,18998500
2019-10-25,193.09,195.74,193.05,195.64,188.1341,21507100
2019-10-28,196.55,197.83,196.55,197.57,189.9901,18818700
2019-10-29,197.24,197.54,196.01,196.04,188.5188,18569700
2019-10-30,196.42,197.32,195.29,196.99,189.4324,21764300
2019-10-31,197.56,197.65,195.94,197.08,189.5189,26801800
2019-11-01,197.93,198.88,197.63,198.87,191.2402,22131900
2019-11-04,200.19,200.53,198.87,200.1,192.423,19015900
2019-11-05,200.35,200.55,199.55,200.21,192.5288,15048900
